id;geometry
129;POLYGON ((577080.1071089141 5827852.528256648, 577100.8162404391 5827841.061926036, 577112.6407658593 5827855.945501425, 577080.1071089141 5827852.528256648))
130;POLYGON ((577383.9335760415 5827694.541682478, 577383.800805324 5827707.200538357, 577358.6742433552 5827672.37991242, 577383.9335760415 5827694.541682478))
131;POLYGON ((577093.2144665351 5827654.754911538, 577157.8641251901 5827713.50635119, 577151.3122128311 5827719.533083809, 577093.2144665351 5827654.754911538))
132;POLYGON ((577369.6973520704 5827899.539454164, 577360.6618420809 5827901.10969875, 577367.5932073576 5827897.64814837, 577369.6973520704 5827899.539454164))
133;POLYGON ((577392.1152550849 5828101.813613119, 577346.3796875702 5828097.106206426, 577356.6557200734 5828081.348162555, 577392.1152550849 5828101.813613119))
134;POLYGON ((577427.3279480541 5827882.76545826, 577423.1360374272 5827886.835126126, 577422.7345417982 5827883.284931972, 577427.3279480541 5827882.76545826))
135;POLYGON ((577259.2567627556 5828203.390066858, 577265.5783874168 5828214.459930412, 577242.0298203834 5828243.192107524, 577259.2567627556 5828203.390066858))
136;POLYGON ((576942.9202616357 5827733.847092315, 576870.8328503717 5827743.326034558, 576868.3149531973 5827739.726224051, 576942.9202616357 5827733.847092315))
137;POLYGON ((576836.853255152 5827749.51131765, 576838.1568732396 5827745.0259570265, 576841.1772224255 5827750.280242706, 576836.853255152 5827749.51131765))
138;POLYGON ((577370.0598524391 5827582.765332371, 577395.7831090192 5827630.412172389, 577356.2642857489 5827593.093957722, 577370.0598524391 5827582.765332371))
139;POLYGON ((577356.0541825056 5828189.0569784, 577344.07871375 5828201.773064098, 577348.0622109262 5828186.794292602, 577356.0541825056 5828189.0569784))
140;POLYGON ((577213.5052187608 5828205.748399866, 577210.3455226741 5828188.353606907, 577259.2567627556 5828203.390066858, 577213.5052187608 5828205.748399866))
141;POLYGON ((577380.4432707963 5828222.786815959, 577368.1510822566 5828206.315293915, 577374.1974695441 5828199.891455276, 577380.4432707963 5828222.786815959))
142;POLYGON ((577043.1855288802 5828132.889682843, 577091.6594370732 5828172.694283152, 577090.4442828445 5828191.310509481, 577043.1855288802 5828132.889682843))
143;POLYGON ((577056.1161417597 5827511.528264663, 577050.28311512 5827511.816427619, 577050.2175651166 5827510.489557154, 577056.1161417597 5827511.528264663))
144;POLYGON ((577484.4062631127 5828038.603449025, 577481.5492598886 5828042.752494006, 577484.7424272993 5828035.348970549, 577484.4062631127 5828038.603449025))
145;POLYGON ((577153.2732404107 5827554.604653004, 577161.2765967757 5827566.513071778, 577134.8852639694 5827562.30247981, 577153.2732404107 5827554.604653004))
146;POLYGON ((577422.7859553144 5827619.620426011, 577415.9075288634 5827625.168224831, 577419.5138335589 5827606.667833991, 577422.7859553144 5827619.620426011))
147;POLYGON ((577230.7435167644 5827955.694461577, 577179.0416495156 5827974.758780377, 577176.3443464665 5827968.385688211, 577230.7435167644 5827955.694461577))
148;POLYGON ((577240.4558253931 5827971.724286582, 577235.552950436 5828004.155823038, 577235.9482785094 5827973.1549715195, 577240.4558253931 5827971.724286582))
149;POLYGON ((577240.3513505379 5828076.014202695, 577236.4754817846 5828061.923506503, 577239.873569224 5828056.102910862, 577240.3513505379 5828076.014202695))
150;POLYGON ((577244.9396774814 5828335.057914292, 577245.2116362316 5828317.861997071, 577259.6511034209 5828308.655851181, 577244.9396774814 5828335.057914292))
151;POLYGON ((577112.6407658593 5827855.945501425, 577121.278424479 5827849.106103292, 577148.0539795831 5827858.918913115, 577112.6407658593 5827855.945501425))
152;POLYGON ((577199.8560665936 5828185.083757861, 577185.9261103459 5828157.316574594, 577207.3544287304 5828181.719958105, 577199.8560665936 5828185.083757861))
153;POLYGON ((577063.3711028155 5827790.372454352, 577063.9648667963 5827775.495759943, 577070.3074539301 5827787.878490748, 577063.3711028155 5827790.372454352))
154;POLYGON ((577161.1094098226 5827575.811439534, 577192.749229962 5827608.898182289, 577187.3266798768 5827640.776383057, 577161.1094098226 5827575.811439534))
155;POLYGON ((577245.8945179739 5827737.4602725785, 577238.0449652871 5827735.567185357, 577245.8247203383 5827711.881378584, 577245.8945179739 5827737.4602725785))
156;POLYGON ((577004.8993548668 5827739.273998001, 577020.3484840416 5827752.623434977, 576996.1394221232 5827755.7352451, 577004.8993548668 5827739.273998001))
157;POLYGON ((577415.7163921571 5827544.448802614, 577404.445371278 5827554.505784343, 577406.2048652046 5827544.3759694835, 577415.7163921571 5827544.448802614))
158;POLYGON ((576848.4317979431 5827737.889193208, 576852.3816823472 5827740.042942428, 576850.0133233345 5827743.732757988, 576848.4317979431 5827737.889193208))
159;POLYGON ((577209.3692221829 5828279.256762524, 577206.2449491478 5828254.0523420125, 577215.9710768433 5828275.600666652, 577209.3692221829 5828279.256762524))
160;POLYGON ((577313.7166616685 5828308.688073803, 577308.280353098 5828293.059519643, 577319.0817477315 5828302.709533696, 577313.7166616685 5828308.688073803))
161;POLYGON ((577224.5291594439 5828342.311708855, 577228.1706834018 5828334.7927359855, 577244.9396774814 5828335.057914292, 577224.5291594439 5828342.311708855))
162;POLYGON ((577289.2772395797 5827808.449238747, 577284.5422909716 5827816.106631597, 577254.070258181 5827772.2792305965, 577289.2772395797 5827808.449238747))
163;POLYGON ((577083.1544570944 5827952.651200137, 577096.0003371519 5827928.132820574, 577117.6051694807 5827954.752548086, 577083.1544570944 5827952.651200137))
164;POLYGON ((576845.7443267949 5827725.686643838, 576864.6122442246 5827737.36496465, 576860.281495173 5827736.595912367, 576845.7443267949 5827725.686643838))
165;POLYGON ((577065.5342016288 5827833.629561514, 577100.8162404391 5827841.061926036, 577078.7393345573 5827849.903282215, 577065.5342016288 5827833.629561514))
166;POLYGON ((577015.904867835 5827884.925816805, 577000.9814270649 5827865.476635826, 577020.5079410058 5827858.530576227, 577015.904867835 5827884.925816805))
167;POLYGON ((577204.623162477 5828241.365748157, 577216.455384978 5828211.969758206, 577232.3188703662 5828248.534604053, 577204.623162477 5828241.365748157))
168;POLYGON ((577063.4728244949 5827956.134491612, 577082.3596598052 5827965.666748047, 577073.4730327765 5827987.87232838, 577063.4728244949 5827956.134491612))
169;POLYGON ((577159.5684427234 5827862.538589639, 577163.1908838082 5827857.099755984, 577167.0245132137 5827859.307557441, 577159.5684427234 5827862.538589639))
170;POLYGON ((577334.6769776052 5828146.496706961, 577329.8866386071 5828142.048495881, 577348.063027732 5828131.555556494, 577334.6769776052 5828146.496706961))
171;POLYGON ((577236.5215093931 5827754.790413237, 577217.8247107181 5827800.922032312, 577212.5943573229 5827800.494464676, 577236.5215093931 5827754.790413237))
172;POLYGON ((577095.3318246738 5827751.5588526, 577097.0555062521 5827750.9518959075, 577098.1647847813 5827754.07344729, 577095.3318246738 5827751.5588526))
173;POLYGON ((577047.8199108033 5827991.979047756, 577060.871441514 5827989.192140721, 577061.7433057997 5827997.483349042, 577047.8199108033 5827991.979047756))
174;POLYGON ((577035.7047272474 5828264.432188462, 577079.9931831227 5828250.856747542, 577071.4453588983 5828274.374918955, 577035.7047272474 5828264.432188462))
175;POLYGON ((577092.9661354935 5827788.124768068, 577094.4780925867 5827790.629639746, 577092.7128766284 5827790.434897776, 577092.9661354935 5827788.124768068))
176;POLYGON ((576960.1957418927 5827712.413174525, 576959.4350179551 5827723.7159247035, 576954.4500745068 5827715.015056475, 576960.1957418927 5827712.413174525))
177;POLYGON ((577204.953154261 5828209.774196989, 577202.847168354 5828191.717402032, 577213.5052187608 5828205.748399866, 577204.953154261 5828209.774196989))
178;POLYGON ((577300.8321240027 5827671.219549707, 577306.2178126796 5827667.833579513, 577311.0254085676 5827672.2931530345, 577300.8321240027 5827671.219549707))
179;POLYGON ((577141.876772382 5828126.9375443645, 577147.6948190226 5828120.587700813, 577177.9892257074 5828153.274941701, 577141.876772382 5828126.9375443645))
180;POLYGON ((577233.228361544 5828131.46292638, 577263.7461336048 5828097.3114988515, 577281.7957669877 5828128.871171301, 577233.228361544 5828131.46292638))
